mechanism,metric,mean,ci95,n_replications,variant
abi,false_trust_rate,0.003111111111111111,0.004123686799098531,12,abi
abi,social_welfare,74.73631776901813,0.4911209686963118,12,abi
abi,high_type_participation,0.922986111111111,0.0733117353650003,12,abi
abi,reward_gini,0.6949469022957858,0.026544681652444547,12,abi
abi,collusion_success_rate,0.2816666666666667,0.19821231245329038,12,abi
abi,capital_exclusion_rate,0.07701388888888888,0.07331173536500027,12,abi
abi_no_audit,false_trust_rate,0.0028333333333333335,0.00368924344164453,12,abi_no_audit
abi_no_audit,social_welfare,74.70507386813509,0.5055991971412508,12,abi_no_audit
abi_no_audit,high_type_participation,0.9250694444444445,0.07189181985403348,12,abi_no_audit
abi_no_audit,reward_gini,0.694143868636302,0.026196044310295045,12,abi_no_audit
abi_no_audit,collusion_success_rate,0.2966666666666667,0.20674295757062805,12,abi_no_audit
abi_no_audit,capital_exclusion_rate,0.07493055555555556,0.07189181985403348,12,abi_no_audit
abi_no_credit,false_trust_rate,0.2491111111111111,0.15437916958440756,12,abi_no_credit
abi_no_credit,social_welfare,75.95250572469652,0.20843668640065174,12,abi_no_credit
abi_no_credit,high_type_participation,0.5776736111111113,0.09646615355341112,12,abi_no_credit
abi_no_credit,reward_gini,0.8129441872832777,0.03146143779593274,12,abi_no_credit
abi_no_credit,collusion_success_rate,0.3433333333333333,0.2144812110628572,12,abi_no_credit
abi_no_credit,capital_exclusion_rate,0.4223263888888889,0.09646615355341112,12,abi_no_credit
abi_no_dynamic,false_trust_rate,0.0,0.0,12,abi_no_dynamic
abi_no_dynamic,social_welfare,75.11984702535399,0.28647053042771564,12,abi_no_dynamic
abi_no_dynamic,high_type_participation,0.9844097222222222,0.011221214662177579,12,abi_no_dynamic
abi_no_dynamic,reward_gini,0.677904874156991,0.004117334448649223,12,abi_no_dynamic
abi_no_dynamic,collusion_success_rate,0.29666666666666663,0.19923015065319039,12,abi_no_dynamic
abi_no_dynamic,capital_exclusion_rate,0.015590277777777778,0.01122121466217757,12,abi_no_dynamic
abi_no_reliability,false_trust_rate,0.004722222222222222,0.006498511579563387,12,abi_no_reliability
abi_no_reliability,social_welfare,74.53642781008794,0.4941592099689331,12,abi_no_reliability
abi_no_reliability,high_type_participation,0.9160069444444444,0.07656898906283205,12,abi_no_reliability
abi_no_reliability,reward_gini,0.696729235161475,0.027631249523496947,12,abi_no_reliability
abi_no_reliability,collusion_success_rate,0.355,0.2032386058530488,12,abi_no_reliability
abi_no_reliability,capital_exclusion_rate,0.08399305555555557,0.07656898906283209,12,abi_no_reliability
