epoch,S_star,p_t,beta_t,omega_t,false_trust_rate,social_welfare,high_type_participation,reward_gini,collusion_success_rate,capital_exclusion_rate,mechanism,seed
50,1.0,0.315,0.598625500225257,0.31726901245158246,0.14,58.49429140139047,0.7125,0.7140214230567572,0.0,0.2875,pure_stake,1
51,1.0,0.31,0.5669017276624903,0.3147779558382077,0.14516129032258066,57.1029658034597,0.7125,0.719954260602784,0.0,0.2875,pure_stake,1
52,1.0,0.305,0.6306994831063802,0.2879588099412639,0.06557377049180328,66.37508579180844,0.75,0.721923815153924,0.0,0.25,pure_stake,1
53,1.0,0.3,0.5356485280693486,0.2963723401591258,0.08333333333333333,66.60891439882829,0.725,0.7266585192946433,0.0,0.275,pure_stake,1
54,1.0,0.33,0.5313611840987013,0.311639887354303,0.19696969696969696,54.43849605235752,0.725,0.6990744866113757,0.0,0.275,pure_stake,1
55,1.0,0.315,0.5441636586432735,0.2811127630549018,0.19047619047619047,55.83010751448221,0.725,0.7126201747416734,0.0,0.275,pure_stake,1
56,1.0,0.345,0.5430993832506625,0.31704791744254096,0.14,61.56393494100856,0.75,0.6835011301451923,0.0,0.25,pure_stake,1
57,1.0,0.34,0.499199831439805,0.3335757342659704,0.18,53.13178477954057,0.7375,0.6889164450258952,0.0,0.2625,pure_stake,1
58,1.0,0.34,0.54696325660602,0.32665976602536634,0.12,56.07592423658981,0.7375,0.6902181630125477,0.0,0.2625,pure_stake,1
59,1.0,0.335,0.6552225644292348,0.308724384147575,0.16,60.918151605783954,0.75,0.6935249997529259,0.0,0.25,pure_stake,1
60,1.0,0.365,0.6496942707584342,0.3359399510093544,0.14,55.08545738297909,0.775,0.6671336390751904,0.0,0.225,pure_stake,1
61,1.0,0.335,0.6334625774255286,0.3039333532303026,0.14925373134328357,58.89684700031797,0.7625,0.6948749169740347,0.0,0.2375,pure_stake,1
62,1.0,0.33,0.6930700285183984,0.3175796894832769,0.14,59.436012673916714,0.75,0.6994011373354959,0.0,0.25,pure_stake,1
63,1.0,0.32,0.6273440880993574,0.3103511897016593,0.14,60.206359257411506,0.75,0.7097352370594381,0.0,0.25,pure_stake,1
64,1.0,0.34,0.6178071906384562,0.2870541647994278,0.14,63.38666408779592,0.7625,0.6880411242663161,0.0,0.2375,pure_stake,1
65,1.0,0.32,0.6151649801661343,0.26515380534276783,0.1,61.135668157915234,0.7625,0.7081382014659382,0.0,0.2375,pure_stake,1
66,1.0,0.345,0.5427459387740944,0.31601142695123524,0.2,60.16389796843655,0.7625,0.6888351202537885,0.0,0.2375,pure_stake,1
67,1.0,0.34,0.5806526905236975,0.3280515942615645,0.18,62.89482220086563,0.7625,0.6904860250161451,0.0,0.2375,pure_stake,1
68,1.0,0.34,0.5241186186928526,0.33531330143214544,0.16,63.1458250894882,0.7625,0.6897858736721689,0.0,0.2375,pure_stake,1
69,1.0,0.345,0.5964679643982403,0.3184007529375201,0.16,60.35006323005963,0.7625,0.6853226782277576,0.0,0.2375,pure_stake,1
70,1.0,0.365,0.5616054251039745,0.33095094749664894,0.22,54.153745984183104,0.7625,0.6657895354282926,0.0,0.2375,pure_stake,1
71,1.0,0.365,0.468875437345494,0.327437528809382,0.22,47.230702421380975,0.7625,0.667177411088279,0.0,0.2375,pure_stake,1
72,1.0,0.355,0.5680078479878968,0.3292135582681641,0.14,56.71674386435689,0.7625,0.6761739503420097,0.0,0.2375,pure_stake,1
73,1.0,0.37,0.5883756039758814,0.3167202275719582,0.24,45.26659025456003,0.7625,0.6573777030605507,0.0,0.2375,pure_stake,1
74,1.0,0.36,0.524501562585706,0.33285426676073937,0.24,51.24628400119882,0.775,0.6704920956562354,0.0,0.225,pure_stake,1
75,1.0,0.34,0.6852685854151008,0.31767858765694545,0.12,62.13531715269547,0.775,0.6866289940142771,0.0,0.225,pure_stake,1
76,1.0,0.35,0.6750804831397426,0.30263047975340107,0.1,63.694561606298464,0.8,0.6753404958522709,0.0,0.2,pure_stake,1
