mechanism,seed,final_S_star,false_trust_rate,social_welfare,high_type_participation,reward_gini,collusion_success_rate,capital_exclusion_rate
pure_stake,1,1.0,0.1536355209096045,58.31047727635978,0.8435833333333332,0.6577942230511666,0.04666666666666667,0.15641666666666665
pure_stake,2,1.0,0.15183816499183933,58.25443747757575,0.8265,0.6656001628907035,0.02,0.1735
pure_stake,3,1.0,0.15217348371146427,58.27017082713828,0.8409166666666669,0.6582655614577139,1.0,0.15908333333333333
pure_stake,4,1.0,0.16670703097371273,56.500846676067034,0.813,0.663682994874007,0.8533333333333334,0.18699999999999997
pure_stake,5,1.0,0.16055481746198585,57.9921669906603,0.8574166666666667,0.650958942455581,0.2866666666666667,0.14258333333333334
pure_stake,6,1.0,0.1571518598363862,57.486114001052144,0.8398333333333335,0.6568404849308784,0.06,0.16016666666666668
pure_stake,7,1.0,0.1552,56.69229058383227,0.8993333333333335,0.6300963383645294,0.9866666666666667,0.10066666666666667
pure_stake,8,1.0,0.14527835243142784,57.9634182192263,0.881,0.6443607219052,0.12,0.11900000000000001
pure_stake,9,1.0,0.1659060728744939,56.67599022128854,0.8637500000000004,0.6448849028478103,0.13333333333333333,0.13625
pure_stake,10,1.0,0.15366330936425618,57.964643665305736,0.8296666666666669,0.6636640323917482,1.0,0.17033333333333336
pure_stake,11,1.0,0.1700877734142779,56.896980517421106,0.8016666666666665,0.6697634359931671,0.02666666666666667,0.19833333333333333
pure_stake,12,1.0,0.15819788898340179,57.89845107477948,0.8161666666666666,0.6679523360090652,0.24666666666666667,0.18383333333333332
pure_stake,13,1.0,0.17531574351179968,56.321934870623494,0.7743333333333333,0.6796813106545355,0.5866666666666667,0.22566666666666663
pure_stake,14,1.0,0.15404164364917985,58.10348276466279,0.8479166666666669,0.6553118362970543,0.14666666666666667,0.15208333333333338
pure_stake,15,1.0,0.14982836992761203,58.69488851885805,0.8557499999999999,0.6553056000210232,0.8733333333333333,0.14425000000000002
pure_stake,16,1.0,0.15099189189189188,57.47921721410341,0.8510833333333334,0.6532753503322687,0.8133333333333334,0.1489166666666667
pure_stake,17,1.0,0.16238397942941554,56.786164934598624,0.7555000000000001,0.690078688095712,0.03333333333333333,0.24449999999999997
pure_stake,18,1.0,0.1657276499634772,56.249199016985514,0.8493333333333335,0.651352464497453,0.04666666666666667,0.1506666666666667
pure_stake,19,1.0,0.15919999999999998,56.49848121320662,0.885666666666667,0.6363467119267998,1.0,0.11433333333333333
pure_stake,20,1.0,0.16579271733812728,56.650219070187,0.836,0.6558000512677509,1.0,0.164
pure_reputation,1,1.0,0.064,27.06666732386309,1.0,0.24792794550982877,0.12,0.0
pure_reputation,2,1.0,0.05639999999999999,27.378892807102716,1.0,0.2492420094727893,0.02,0.0
pure_reputation,3,1.0,0.061066666666666665,27.63074644351081,1.0,0.2506289102952919,1.0,0.0
pure_reputation,4,1.0,0.06359999999999999,26.459515597467497,1.0,0.2441331302813446,1.0,0.0
pure_reputation,5,1.0,0.062266666666666665,26.73459268342639,1.0,0.24373395139076842,0.9933333333333333,0.0
