axis,x,A_min
d,0.5,0.7692307692307693
d,0.51,0.7541478129713425
d,0.52,0.7396449704142012
d,0.53,0.7256894049346879
d,0.54,0.7122507122507121
d,0.55,0.6993006993006993
d,0.56,0.6868131868131868
d,0.5700000000000001,0.6747638326585694
d,0.58,0.6631299734748012
d,0.59,0.651890482398957
d,0.6,0.6410256410256411
d,0.61,0.6305170239596469
d,0.62,0.6203473945409429
d,0.63,0.6105006105006106
d,0.64,0.6009615384615384
d,0.65,0.591715976331361
d,0.66,0.5827505827505828
d,0.67,0.574052812858783
d,0.6799999999999999,0.5656108597285069
d,0.69,0.5574136008918618
d,0.7,0.5494505494505495
d,0.71,0.5417118093174432
d,0.72,0.5341880341880342
d,0.73,0.5268703898840885
d,0.74,0.5197505197505198
d,0.75,0.5128205128205129
d,0.76,0.5060728744939271
d,0.77,0.49950049950049946
d,0.78,0.4930966469428008
d,0.79,0.486854917234664
d,0.8,0.4807692307692307
d,0.81,0.4748338081671415
d,0.8200000000000001,0.4690431519699812
d,0.8300000000000001,0.46339202965708987
d,0.8400000000000001,0.4578754578754578
d,0.8500000000000001,0.4524886877828054
d,0.86,0.44722719141323797
d,0.87,0.4420866489832007
d,0.88,0.4370629370629371
d,0.89,0.43215211754537597
d,0.9,0.42735042735042733
d,0.91,0.42265426880811496
d,0.9199999999999999,0.4180602006688964
d,0.9299999999999999,0.413564929693962
d,0.94,0.40916530278232405
d,0.95,0.40485829959514175
d,0.96,0.40064102564102566
d,0.97,0.39651070578905634
d,0.98,0.39246467817896385
d,0.99,0.3885003885003885
d,1.0,0.38461538461538464
phi,0.05,1.1764705882352942
phi,0.057,1.0319917440660475
phi,0.064,0.9191176470588236
phi,0.07100000000000001,0.828500414250207
phi,0.07800000000000001,0.7541478129713423
phi,0.085,0.6920415224913494
phi,0.09200000000000001,0.639386189258312
phi,0.099,0.5941770647653001
phi,0.10600000000000001,0.5549389567147613
phi,0.11300000000000002,0.5205622071837585
phi,0.12000000000000001,0.49019607843137253
phi,0.127,0.4631773969430292
phi,0.134,0.4389815627743635
phi,0.14100000000000001,0.4171881518564873
phi,0.14800000000000002,0.39745627980922094
phi,0.15500000000000003,0.3795066413662239
phi,0.16200000000000003,0.36310820624546114
phi,0.16900000000000004,0.34806822137138876
phi,0.17600000000000005,0.33422459893048123
phi,0.183,0.32144005143040827
phi,0.19,0.30959752321981426
phi,0.197,0.2985965959988056
phi,0.20400000000000001,0.28835063437139563
phi,0.21100000000000002,0.2787844995818233
phi,0.21800000000000003,0.2698327037236913
phi,0.22500000000000003,0.261437908496732
phi,0.23200000000000004,0.25354969574036507
phi,0.23900000000000005,0.2461235540241201
phi,0.24600000000000005,0.23912003825920608
phi,0.25300000000000006,0.23250406882120433
phi,0.26,0.22624434389140272
phi,0.267,0.2203128442388191
phi,0.274,0.21468441391155002
phi,0.281,0.20933640360058614
phi,0.28800000000000003,0.2042483660130719
phi,0.29500000000000004,0.19940179461615154
phi,0.30200000000000005,0.19477989871445264
phi,0.30900000000000005,0.19036740909956212
phi,0.316,0.18615040953090098
phi,0.323,0.1821161901293025
phi,0.33,0.17825311942959002
phi,0.337,0.17455053237912374
phi,0.34400000000000003,0.17099863201094392
phi,0.35100000000000003,0.16758840288252053
phi,0.35800000000000004,0.1643115346697338
phi,0.36500000000000005,0.16116035455278002
phi,0.37200000000000005,0.15812776723592661
phi,0.37900000000000006,0.15520720161415488
phi,0.38600000000000007,0.15239256324291373
phi,0.393,0.149678191887442
phi,0.4,0.14705882352941177
s,0.1,4.524886877828054
s,0.198,2.2852964029434615
s,0.29600000000000004,1.5286779992662343
s,0.394,1.1484484461492523
s,0.492,0.9196924548431006
s,0.59,0.7669299792928905
s,0.6880000000000001,0.6576870461959381
s,0.786,0.5756853534132385
s,0.884,0.5118650314285129
s,0.982,0.4607827777828976
s,1.08,0.4189710072063013
s,1.1780000000000002,0.3841160337714817
s,1.2760000000000002,0.3546149590774336
s,1.374,0.3293221890704552
s,1.4720000000000002,0.30739720637418844
s,1.57,0.28820935527567226
s,1.6680000000000001,0.27127619171631023
s,1.7660000000000002,0.2562223600129136
s,1.864,0.24275144194356513
s,1.9620000000000002,0.23062624249888145
s,2.06,0.2196547028071871
s,2.1580000000000004,0.20967965142854744
s,2.2560000000000002,0.2005712268540804
s,2.354,0.1922211927709454
s,2.4520000000000004,0.18453861655089943
s,2.5500000000000003,0.17744654422855113
s,2.648,0.17087941381525884
s,2.746,0.16478102249920082
s,2.8440000000000003,0.15910291412897518
s,2.942,0.1538030889812391
s,3.04,0.14884496308644918
s,3.1380000000000003,0.14419652255666202
s,3.236,0.13982963157688671
s,3.334,0.13571946244235317
s,3.4320000000000004,0.13184402324673816
s,3.5300000000000002,0.1281837642444208
s,3.628,0.12472124801069609
s,3.7260000000000004,0.12144087165400037
s,3.8240000000000003,0.11832863174236544
s,3.922,0.11537192447292337
s,4.02,0.11255937507034963
s,4.117999999999999,0.10988069154512034
s,4.216,0.107326538847914
s,4.314,0.10488843017682091
s,4.412,0.10255863277035482
s,4.51,0.10033008598288369
s,4.608,0.09819632981397688
s,4.7059999999999995,0.09615144236778697
s,4.804,0.0941899849672784
s,4.902,0.09230695385206149
s,5.0,0.0904977375565611
