kappa,xi,zeta,Lambda
0.0,0.1,0.1,1.03
0.01694915254237288,0.1,0.1,1.0215254237288136
0.03389830508474576,0.1,0.1,1.0130508474576272
0.05084745762711865,0.1,0.1,1.0045762711864408
0.06779661016949153,0.1,0.1,0.9961016949152542
0.0847457627118644,0.1,0.1,0.9876271186440678
0.1016949152542373,0.1,0.1,0.9791525423728814
0.11864406779661017,0.1,0.1,0.9706779661016949
0.13559322033898305,0.1,0.1,0.9622033898305085
0.15254237288135594,0.1,0.1,0.953728813559322
0.1694915254237288,0.1,0.1,0.9452542372881356
0.1864406779661017,0.1,0.1,0.9367796610169492
0.2033898305084746,0.1,0.1,0.9283050847457627
0.22033898305084745,0.1,0.1,0.9198305084745763
0.23728813559322035,0.1,0.1,0.9113559322033898
0.2542372881355932,0.1,0.1,0.9028813559322034
0.2711864406779661,0.1,0.1,0.8944067796610169
0.288135593220339,0.1,0.1,0.8859322033898305
0.3050847457627119,0.1,0.1,0.8774576271186441
0.3220338983050847,0.1,0.1,0.8689830508474576
0.3389830508474576,0.1,0.1,0.8605084745762712
0.3559322033898305,0.1,0.1,0.8520338983050848
0.3728813559322034,0.1,0.1,0.8435593220338984
0.3898305084745763,0.1,0.1,0.8350847457627119
0.4067796610169492,0.1,0.1,0.8266101694915254
0.423728813559322,0.1,0.1,0.818135593220339
0.4406779661016949,0.1,0.1,0.8096610169491525
0.4576271186440678,0.1,0.1,0.8011864406779661
0.4745762711864407,0.1,0.1,0.7927118644067797
0.4915254237288136,0.1,0.1,0.7842372881355932
0.5084745762711864,0.1,0.1,0.7757627118644068
0.5254237288135594,0.1,0.1,0.7672881355932204
0.5423728813559322,0.1,0.1,0.758813559322034
0.559322033898305,0.1,0.1,0.7503389830508476
0.576271186440678,0.1,0.1,0.741864406779661
0.5932203389830508,0.1,0.1,0.7333898305084746
0.6101694915254238,0.1,0.1,0.7249152542372881
0.6271186440677966,0.1,0.1,0.7164406779661017
0.6440677966101694,0.1,0.1,0.7079661016949153
0.6610169491525424,0.1,0.1,0.6994915254237288
0.6779661016949152,0.1,0.1,0.6910169491525424
0.6949152542372882,0.1,0.1,0.682542372881356
0.711864406779661,0.1,0.1,0.6740677966101696
0.7288135593220338,0.1,0.1,0.6655932203389832
0.7457627118644068,0.1,0.1,0.6571186440677966
0.7627118644067796,0.1,0.1,0.6486440677966102
0.7796610169491526,0.1,0.1,0.6401694915254237
0.7966101694915254,0.1,0.1,0.6316949152542373
0.8135593220338984,0.1,0.1,0.6232203389830508
0.8305084745762712,0.1,0.1,0.6147457627118644
0.847457627118644,0.1,0.1,0.606271186440678
0.864406779661017,0.1,0.1,0.5977966101694916
0.8813559322033898,0.1,0.1,0.5893220338983052
0.8983050847457628,0.1,0.1,0.5808474576271186
0.9152542372881356,0.1,0.1,0.5723728813559322
0.9322033898305084,0.1,0.1,0.5638983050847458
0.9491525423728814,0.1,0.1,0.5554237288135593
0.9661016949152542,0.1,0.1,0.5469491525423729
0.9830508474576272,0.1,0.1,0.5384745762711864
1.0,0.1,0.1,0.53
0.0,0.2,0.3,1.07
0.01694915254237288,0.2,0.3,1.0615254237288136
0.03389830508474576,0.2,0.3,1.0530508474576272
0.05084745762711865,0.2,0.3,1.0445762711864406
0.06779661016949153,0.2,0.3,1.0361016949152542
0.0847457627118644,0.2,0.3,1.0276271186440677
0.1016949152542373,0.2,0.3,1.0191525423728813
0.11864406779661017,0.2,0.3,1.010677966101695
0.13559322033898305,0.2,0.3,1.0022033898305085
0.15254237288135594,0.2,0.3,0.9937288135593221
0.1694915254237288,0.2,0.3,0.9852542372881357
0.1864406779661017,0.2,0.3,0.9767796610169491
0.2033898305084746,0.2,0.3,0.9683050847457627
0.22033898305084745,0.2,0.3,0.9598305084745763
0.23728813559322035,0.2,0.3,0.9513559322033899
0.2542372881355932,0.2,0.3,0.9428813559322033
0.2711864406779661,0.2,0.3,0.9344067796610169
0.288135593220339,0.2,0.3,0.9259322033898305
0.3050847457627119,0.2,0.3,0.9174576271186441
0.3220338983050847,0.2,0.3,0.9089830508474577
0.3389830508474576,0.2,0.3,0.9005084745762713
0.3559322033898305,0.2,0.3,0.8920338983050847
0.3728813559322034,0.2,0.3,0.8835593220338983
0.3898305084745763,0.2,0.3,0.8750847457627119
0.4067796610169492,0.2,0.3,0.8666101694915254
0.423728813559322,0.2,0.3,0.8581355932203389
0.4406779661016949,0.2,0.3,0.8496610169491525
0.4576271186440678,0.2,0.3,0.8411864406779661
0.4745762711864407,0.2,0.3,0.8327118644067797
0.4915254237288136,0.2,0.3,0.8242372881355933
0.5084745762711864,0.2,0.3,0.8157627118644069
0.5254237288135594,0.2,0.3,0.8072881355932203
0.5423728813559322,0.2,0.3,0.7988135593220339
0.559322033898305,0.2,0.3,0.7903389830508475
0.576271186440678,0.2,0.3,0.781864406779661
0.5932203389830508,0.2,0.3,0.7733898305084747
0.6101694915254238,0.2,0.3,0.7649152542372881
0.6271186440677966,0.2,0.3,0.7564406779661017
0.6440677966101694,0.2,0.3,0.7479661016949153
0.6610169491525424,0.2,0.3,0.7394915254237289
0.6779661016949152,0.2,0.3,0.7310169491525425
0.6949152542372882,0.2,0.3,0.7225423728813559
0.711864406779661,0.2,0.3,0.7140677966101695
0.7288135593220338,0.2,0.3,0.7055932203389831
0.7457627118644068,0.2,0.3,0.6971186440677967
0.7627118644067796,0.2,0.3,0.6886440677966102
0.7796610169491526,0.2,0.3,0.6801694915254237
0.7966101694915254,0.2,0.3,0.6716949152542373
0.8135593220338984,0.2,0.3,0.6632203389830509
0.8305084745762712,0.2,0.3,0.6547457627118645
0.847457627118644,0.2,0.3,0.646271186440678
0.864406779661017,0.2,0.3,0.6377966101694915
0.8813559322033898,0.2,0.3,0.6293220338983051
0.8983050847457628,0.2,0.3,0.6208474576271187
0.9152542372881356,0.2,0.3,0.6123728813559323
0.9322033898305084,0.2,0.3,0.6038983050847458
