p,Omega,lambda_S_fixed,lambda_S_adaptive,lambda_S_adaptive_floor
0.0,0.04742587317756678,0.2,0.3334009443878516,0.33577223804672995
0.02,0.05215356307841774,0.2,0.3317462529225538,0.33435393107647465
0.04,0.057324175898868755,0.2,0.32993653843539594,0.33280274723033937
0.06,0.06297335605699649,0.2,0.3279593253800512,0.331107993182901
0.08,0.06913842034334682,0.2,0.3258015528798286,0.3292584738969959
0.1,0.07585818002124355,0.2,0.32344963699256474,0.3272425459936269
0.12,0.08317269649392238,0.2,0.32088955622712717,0.32504819105182325
0.14,0.09112296101485616,0.2,0.31810696364480034,0.3226631116955431
0.16,0.09975048911968518,0.2,0.31508732880811013,0.3200748532640944
0.18,0.10909682119561294,0.2,0.31181611258153547,0.3172709536413161
0.2,0.11920292202211757,0.2,0.30827897729225884,0.3142391233933647
0.22,0.13010847436299786,0.2,0.30446203397295074,0.3109674576911006
0.24,0.14185106490048782,0.2,0.30035212728482924,0.30744468052985363
0.26,0.15446526508353475,0.2,0.2959371572207628,0.3036604204749396
0.28,0.16798161486607557,0.2,0.2912064347968735,0.29960551554017734
0.3,0.18242552380635635,0.2,0.28615106666777523,0.29527234285809306
0.32,0.19781611144141825,0.2,0.28076436099550356,0.2906551665675745
0.34,0.21416501695744142,0.2,0.27504224406489547,0.28575049491276755
0.36,0.23147521650098238,0.2,0.26898367422465613,0.28055743504970526
0.38,0.24973989440488245,0.2,0.2625910369582911,0.2750780316785353
0.4,0.26894142136999516,0.2,0.25587050252050164,0.26931757358900144
0.42,0.28905049737499605,0.2,0.24883232591875135,0.2632848507875012
0.44,0.3100255188723876,0.2,0.24149106839466433,0.2569923443382837
0.46,0.33181222783183395,0.2,0.2338657202588581,0.25045633165044984
0.48,0.35434369377420455,0.2,0.22597970717902838,0.24369689186773863
0.5,0.3775406687981454,0.2,0.2178607659206491,0.2367377993605564
0.52,0.401312339887548,0.2,0.2095406810393582,0.2296062980337356
0.54,0.4255574831883411,0.2,0.2010548808840806,0.2223327550434977
0.56,0.45016600268752216,0.2,0.19244189905936723,0.21495019919374336
0.58,0.47502081252106,0.2,0.183742715617629,0.207493756243682
0.6,0.5,0.2,0.175,0.2
0.62,0.52497918747894,0.2,0.16625728438237097,0.19250624375631797
0.64,0.549833997312478,0.2,0.15755810094063272,0.1850498008062566
0.66,0.574442516811659,0.2,0.14894511911591932,0.17766724495650227
0.68,0.5986876601124521,0.2,0.14045931896064176,0.17039370196626435
0.7000000000000001,0.6224593312018547,0.2,0.13213923407935085,0.16326220063944358
0.72,0.6456563062257954,0.2,0.1240202928209716,0.1563031081322614
0.74,0.6681877721681662,0.2,0.11613427974114184,0.14954366834955016
0.76,0.6899744811276125,0.2,0.10850893160533562,0.14300765566171625
0.78,0.710949502625004,0.2,0.10116767408124859,0.1367151492124988
0.8,0.731058578630005,0.2,0.09412949747949824,0.1306824264109985
0.8200000000000001,0.7502601055951177,0.2,0.08740896304170881,0.1249219683214647
0.84,0.7685247834990175,0.2,0.08101632577534386,0.11944256495029473
0.86,0.7858349830425586,0.2,0.07495775593510448,0.11424950508723242
0.88,0.8021838885585818,0.2,0.06923563900449636,0.10934483343242546
0.9,0.8175744761936437,0.2,0.06384893333222472,0.1047276571419069
0.92,0.8320183851339246,0.2,0.0587935652031264,0.10039448445982263
0.9400000000000001,0.8455347349164655,0.2,0.054062842779237084,0.09633957952506036
0.96,0.8581489350995123,0.2,0.049647872715170696,0.09255531947014631
0.98,0.8698915256370021,0.2,0.04553796602704926,0.08903254230889937
1.0,0.8807970779778823,0.2,0.04172102270774119,0.08576087660663531
