mechanism,phi,pi_c,false_trust_rate,social_welfare,reward_gini,collusion_success_rate,capital_exclusion_rate
pure_stake,0.0,0.0,0.5563333333333333,71.66342989933196,0.8900000000000002,0.0,0.7249999999999999
yuma_like,0.0,0.0,0.5563333333333333,74.74970325086767,0.9003511085087222,0.0,0.7249999999999999
abi,0.0,0.0,0.003333333333333333,78.38663166958568,0.7006281653380495,0.0,0.0
pure_stake,0.0,0.1,0.5563333333333333,71.66342989933196,0.8900000000000002,0.4,0.7249999999999999
yuma_like,0.0,0.1,0.5563333333333333,74.74658302784952,0.9003423544739964,0.38,0.7249999999999999
abi,0.0,0.1,0.004666666666666667,78.37614875376173,0.7022631297449793,0.17333333333333334,0.0
pure_stake,0.0,0.2,0.5563333333333333,71.66342989933196,0.8900000000000002,0.4,0.7249999999999999
yuma_like,0.0,0.2,0.5563333333333333,74.74152155142734,0.9003400487215535,0.38666666666666666,0.7249999999999999
abi,0.0,0.2,0.0035555555555555557,78.31940367526884,0.7009333987596065,0.09333333333333334,0.0
pure_stake,0.0,0.3,0.5563333333333333,71.66342989933196,0.8900000000000002,0.4,0.7249999999999999
yuma_like,0.0,0.3,0.5563333333333333,74.7383541066014,0.9003320184540412,0.38666666666666666,0.7249999999999999
abi,0.0,0.3,0.0031111111111111114,78.45173923318254,0.703043835522175,0.26,0.0
pure_stake,0.2,0.0,0.15238988264297074,59.61003237937759,0.6865681416915084,0.0,0.23166666666666663
yuma_like,0.2,0.0,0.01311111111111111,70.01456800408725,0.7196296323456721,0.0,0.2322222222222222
abi,0.2,0.0,0.0011111111111111111,75.28800226363902,0.7098590913733485,0.0,0.11111111111111109
pure_stake,0.2,0.1,0.15238988264297074,59.61003237937759,0.6865681416915084,0.36,0.23166666666666663
yuma_like,0.2,0.1,0.013333333333333332,69.98601599741609,0.7194721534682581,0.36666666666666664,0.2322222222222222
abi,0.2,0.1,0.0013333333333333333,75.31078801239644,0.7109286870710488,0.21999999999999997,0.11374999999999999
pure_stake,0.2,0.2,0.15238988264297074,59.61003237937759,0.6865681416915084,0.36,0.23166666666666663
yuma_like,0.2,0.2,0.013333333333333332,69.94587519248722,0.7193248605063248,0.39333333333333337,0.2322222222222222
abi,0.2,0.2,0.0017777777777777779,75.25574079234451,0.7104002950893367,0.20666666666666664,0.11277777777777778
pure_stake,0.2,0.3,0.15238988264297074,59.61003237937759,0.6865681416915084,0.36,0.23166666666666663
yuma_like,0.2,0.3,0.013777777777777778,69.91348951941583,0.7192301676283757,0.4066666666666666,0.2322222222222222
abi,0.2,0.3,0.0015555555555555557,75.23095643133067,0.7106619993322941,0.1933333333333333,0.11277777777777778
pure_stake,0.4,0.0,0.3046666666666667,35.18093315383627,0.5063069385153426,0.0,0.010694444444444446
yuma_like,0.4,0.0,0.021749551971326164,58.96649088688723,0.5879262848851342,0.0,0.009861111111111112
abi,0.4,0.0,0.002888888888888889,73.82595059143198,0.7442564179066129,0.0,0.2041666666666667
pure_stake,0.4,0.1,0.3046666666666667,35.18093315383627,0.5063069385153426,0.2,0.010694444444444446
yuma_like,0.4,0.1,0.021305107526881716,58.914155884049116,0.5876292137083803,0.17333333333333334,0.009861111111111112
abi,0.4,0.1,0.002666666666666667,73.82552795772696,0.7444013534122788,0.32,0.2041666666666667
pure_stake,0.4,0.2,0.3046666666666667,35.18093315383627,0.5063069385153426,0.2,0.010694444444444446
yuma_like,0.4,0.2,0.022409050179211472,58.83873501156362,0.5872992857538957,0.2,0.009861111111111112
abi,0.4,0.2,0.003333333333333333,73.80506002400305,0.7431579032803611,0.2866666666666667,0.2
pure_stake,0.4,0.3,0.3046666666666667,35.18093315383627,0.5063069385153426,0.2,0.010694444444444446
yuma_like,0.4,0.3,0.023075716845878134,58.7818240211828,0.5870880930090951,0.22666666666666666,0.009861111111111112
abi,0.4,0.3,0.002666666666666667,73.8370444939328,0.743658433515766,0.29333333333333333,0.2
pure_stake,0.6,0.0,0.3804444444444445,24.432224818695182,0.4643192766477385,0.0,0.0009722222222222221
yuma_like,0.6,0.0,0.06343637992831543,52.86064609522133,0.5565611500653072,0.0,0.0009722222222222221
abi,0.6,0.0,0.0057777777777777775,71.64858738166122,0.756970540108203,0.0,0.24305555555555558
pure_stake,0.6,0.1,0.3804444444444445,24.432224818695182,0.4643192766477385,0.21333333333333332,0.0009722222222222221
yuma_like,0.6,0.1,0.06341487455197134,52.79101006671779,0.5561842680110691,0.19333333333333333,0.0009722222222222221
abi,0.6,0.1,0.005555555555555555,71.6591704627116,0.7582153433495022,0.24666666666666667,0.24680555555555558
pure_stake,0.6,0.2,0.3804444444444445,24.432224818695182,0.4643192766477385,0.21333333333333332,0.0009722222222222221
yuma_like,0.6,0.2,0.063581541218638,52.69135590404092,0.5557485686942799,0.21333333333333332,0.0009722222222222221
abi,0.6,0.2,0.006,71.63070401243311,0.758416671678005,0.20666666666666664,0.24694444444444447
pure_stake,0.6,0.3,0.3804444444444445,24.432224818695182,0.4643192766477385,0.21333333333333332,0.0009722222222222221
yuma_like,0.6,0.3,0.06563037634408604,52.61382242196703,0.5554712785003216,0.22000000000000003,0.0009722222222222221
abi,0.6,0.3,0.006222222222222222,71.65566542863985,0.757358292075472,0.20666666666666664,0.2426388888888889
